,Attended_Event,Times_Contacted,Days_to_Respond,Lead_Acquired,Total_Campaign_Cost,Marketing_Campaign_AutumnAwareness,Marketing_Campaign_SpringGrowth,Marketing_Campaign_SummerSales,Marketing_Campaign_WinterBoost,Marketing_Campaign_YearEndPush,Lead_State_CA,Lead_State_FL,Lead_State_GA,Lead_State_IL,Lead_State_MI,Lead_State_NC,Lead_State_NY,Lead_State_OH,Lead_State_PA,Lead_State_TX,Engagement_Level_High,Engagement_Level_Low,Engagement_Level_Medium,Engagement_Level_Very High,Campaign_Type_Hybrid,Campaign_Type_In-Person,Campaign_Type_Online,Lead_Type_Corporate,Lead_Type_Individual,Lead_Type_Non-Profit,bucket,predicted_number_of_lead,cost_to_acq,earned_profit,predicted_profit,predicted_acq_spent
0,1,5,14,0,1688.77,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,3,2084.0,10489.153368009971,0.0,30240604.38106722,21859395.61893278
1,0,1,12,0,7487.21,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,4,741.0,10625.682143811375,0.0,10651369.53143577,7873630.468564229
2,1,6,0,1,8207.0,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,True,False,False,4,741.0,10625.682143811375,16793.0,10651369.53143577,7873630.468564229
3,0,3,16,0,2856.6099999999997,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,2,795.0,10361.884828242606,0.0,11637301.561547128,8237698.4384528715
4,1,3,2,1,13960.27,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,0,1310.0,10625.682143811375,11039.73,18830356.3916071,13919643.608392902
5,1,2,1,1,4995.9,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,1,2217.0,10933.084347907177,20004.1,31186352.00068979,24238647.99931021
6,1,5,3,0,4708.21,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,0,1310.0,10625.682143811375,0.0,18830356.3916071,13919643.608392902
7,0,5,4,1,16416.55,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False,False,2,795.0,10361.884828242606,8583.45,11637301.561547128,8237698.4384528715
8,0,5,16,0,2041.21,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,1,2217.0,10933.084347907177,0.0,31186352.00068979,24238647.99931021
9,0,6,3,1,9356.57,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,True,False,False,2,795.0,10361.884828242606,15643.43,11637301.561547128,8237698.4384528715
10,1,3,18,0,5060.780000000001,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,4,741.0,10625.682143811375,0.0,10651369.53143577,7873630.468564229
11,0,4,7,1,17521.61,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,3,2084.0,10489.153368009971,7478.389999999999,30240604.38106722,21859395.61893278
12,1,2,19,0,3101.85,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False,1,2217.0,10933.084347907177,0.0,31186352.00068979,24238647.99931021
13,1,6,2,1,9088.78,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,3,2084.0,10489.153368009971,15911.22,30240604.38106722,21859395.61893278
14,1,4,7,0,3235.44,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,2,795.0,10361.884828242606,0.0,11637301.561547128,8237698.4384528715
15,1,0,16,0,6772.08,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,1,2217.0,10933.084347907177,0.0,31186352.00068979,24238647.99931021
16,0,4,4,1,9191.34,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,1,2217.0,10933.084347907177,15808.66,31186352.00068979,24238647.99931021
17,0,1,18,0,5253.15,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,0,1310.0,10625.682143811375,0.0,18830356.3916071,13919643.608392902
18,1,3,10,0,7637.78,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,0,1310.0,10625.682143811375,0.0,18830356.3916071,13919643.608392902
19,1,4,13,0,3647.46,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,3,2084.0,10489.153368009971,0.0,30240604.38106722,21859395.61893278
20,1,5,6,0,3503.94,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,2,795.0,10361.884828242606,0.0,11637301.561547128,8237698.4384528715
21,1,2,15,0,3589.91,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,1,2217.0,10933.084347907177,0.0,31186352.00068979,24238647.99931021
22,0,6,5,1,15062.78,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,3,2084.0,10489.153368009971,9937.22,30240604.38106722,21859395.61893278
23,1,3,9,0,4020.95,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,0,1310.0,10625.682143811375,0.0,18830356.3916071,13919643.608392902
24,0,6,6,1,9791.96,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,2,795.0,10361.884828242606,15208.04,11637301.561547128,8237698.4384528715
25,1,2,18,0,7835.26,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,2,795.0,10361.884828242606,0.0,11637301.561547128,8237698.4384528715
26,0,3,10,0,6606.99,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,3,2084.0,10489.153368009971,0.0,30240604.38106722,21859395.61893278
27,1,2,2,1,19524.9,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,1,2217.0,10933.084347907177,5475.0999999999985,31186352.00068979,24238647.99931021
