,Lead_ID,Lead_Type,Marketing_Campaign,Campaign_Type,Campaign_Cost,Attended_Event,Cost_to_Acquire_Lead,Times_Contacted,Days_to_Respond,Engagement_Level,Lead_State,Lead_Acquired
0,1,Individual,SpringGrowth,Online,1091.77,1,597.0,5,14,Low,PA,0
1,2,Non-Profit,AutumnAwareness,In-Person,3900.21,0,3587.0,1,12,Low,PA,0
2,3,Corporate,YearEndPush,Online,2065.0,1,6142.0,6,0,Very High,NC,1
3,4,Individual,YearEndPush,Online,2035.61,0,821.0,3,16,Low,NC,0
4,5,Individual,SummerSales,In-Person,3398.27,1,10562.0,3,2,Medium,TX,1
5,6,Individual,WinterBoost,Online,1345.9,1,3650.0,2,1,High,NY,1
6,7,Individual,SummerSales,In-Person,3245.21,1,1463.0,5,3,Low,NY,0
7,8,Corporate,WinterBoost,In-Person,3492.55,0,12924.0,5,4,Medium,NC,1
8,9,Individual,SummerSales,Online,1634.21,0,407.0,5,16,Low,NY,0
9,10,Corporate,SummerSales,Online,2537.57,0,6819.0,6,3,Low,OH,1
10,11,Individual,YearEndPush,Hybrid,2209.78,1,2851.0,3,18,Medium,FL,0
11,12,Non-Profit,WinterBoost,In-Person,4598.61,0,12923.0,4,7,High,OH,1
12,13,Corporate,SpringGrowth,Online,2118.85,1,983.0,2,19,Low,NY,0
13,14,Individual,SpringGrowth,In-Person,3822.78,1,5266.0,6,2,High,TX,1
14,15,Individual,SummerSales,Online,1871.44,1,1364.0,4,7,Low,OH,0
15,16,Individual,SummerSales,Online,2324.08,1,4448.0,0,16,Low,IL,0
16,17,Individual,YearEndPush,In-Person,2731.34,0,6460.0,4,4,High,OH,1
17,18,Individual,WinterBoost,Online,2709.15,0,2544.0,1,18,High,NC,0
18,19,Individual,SummerSales,In-Person,4504.78,1,3133.0,3,10,Medium,IL,0
19,20,Individual,SpringGrowth,Online,2495.46,1,1152.0,4,13,Medium,MI,0
20,21,Individual,WinterBoost,In-Person,2910.94,1,593.0,5,6,Medium,TX,0
21,22,Individual,SummerSales,Online,1468.91,1,2121.0,2,15,Low,GA,0
22,23,Individual,WinterBoost,Online,2163.78,0,12899.0,6,5,Low,CA,1
23,24,Individual,YearEndPush,Online,2173.95,1,1847.0,3,9,Low,CA,0
24,25,Individual,SpringGrowth,Online,2230.96,0,7561.0,6,6,Medium,NC,1
25,26,Corporate,WinterBoost,In-Person,4433.26,1,3402.0,2,18,Very High,GA,0
26,27,Individual,SpringGrowth,In-Person,4227.99,0,2379.0,3,10,Very High,FL,0
27,28,Individual,SummerSales,In-Person,5339.9,1,14185.0,2,2,Medium,NC,1
28,29,Individual,AutumnAwareness,Online,2113.02,0,1031.0,3,4,High,OH,0
29,30,Individual,WinterBoost,In-Person,4340.29,1,2025.0,3,8,Very High,CA,0
30,31,Individual,SpringGrowth,Online,1763.64,1,856.0,2,13,Low,NC,0
31,32,Individual,WinterBoost,Online,2161.72,0,1154.0,2,4,Low,NY,0
32,33,Individual,SummerSales,Online,2059.19,0,4030.0,0,10,Medium,PA,0
33,34,Corporate,SummerSales,Hybrid,2834.43,1,4651.0,0,15,Medium,GA,0
34,35,Non-Profit,SpringGrowth,Online,2133.6,0,4454.0,3,19,High,NC,0
35,36,Corporate,YearEndPush,Online,1560.79,0,7357.0,2,1,Medium,CA,1
36,37,Individual,WinterBoost,Online,1594.19,0,5987.0,4,0,Very High,OH,1
37,38,Individual,WinterBoost,Online,1551.57,0,13518.0,0,1,Low,OH,1
38,39,Individual,SummerSales,In-Person,4847.17,1,15941.0,2,3,High,PA,1
